2019-10-16 21:49:44 status half-installed libgpg-error0:amd64 1.36-7
2019-10-16 21:49:44 status unpacked libgpg-error0:amd64 1.36-7
2019-10-16 21:49:44 install liblz4-1:amd64 <none> 1.9.1-1
2019-10-16 21:49:44 status half-installed liblz4-1:amd64 1.9.1-1
2019-10-16 21:49:44 status unpacked liblz4-1:amd64 1.9.1-1
2019-10-16 21:49:44 install liblzma5:amd64 <none> 5.2.4-1
2019-10-16 21:49:44 status half-installed liblzma5:amd64 5.2.4-1
2019-10-16 21:49:44 status unpacked liblzma5:amd64 5.2.4-1
2019-10-16 21:49:44 install libmount1:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:44 status half-installed libmount1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:44 status unpacked libmount1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:44 install libncurses6:amd64 <none> 6.1+20190803-1ubuntu1
2019-10-16 21:49:44 status half-installed libncurses6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:44 status unpacked libncurses6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:44 install libncursesw6:amd64 <none> 6.1+20190803-1ubuntu1
2019-10-16 21:49:44 status half-installed libncursesw6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:44 status unpacked libncursesw6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:44 install libpam-modules:amd64 <none> 1.3.1-5ubuntu1
2019-10-16 21:49:44 status half-installed libpam-modules:amd64 1.3.1-5ubuntu1
2019-10-16 21:49:44 status unpacked libpam-modules:amd64 1.3.1-5ubuntu1
2019-10-16 21:49:44 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu1
2019-10-16 21:49:44 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu1
2019-10-16 21:49:44 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu1
2019-10-16 21:49:44 install libpam-runtime:all <none> 1.3.1-5ubuntu1
2019-10-16 21:49:44 status half-installed libpam-runtime:all 1.3.1-5ubuntu1
2019-10-16 21:49:44 status unpacked libpam-runtime:all 1.3.1-5ubuntu1
2019-10-16 21:49:44 install libpam0g:amd64 <none> 1.3.1-5ubuntu1
2019-10-16 21:49:44 status half-installed libpam0g:amd64 1.3.1-5ubuntu1
2019-10-16 21:49:44 status unpacked libpam0g:amd64 1.3.1-5ubuntu1
2019-10-16 21:49:44 install libpcre2-8-0:amd64 <none> 10.32-5
2019-10-16 21:49:44 status half-installed libpcre2-8-0:amd64 10.32-5
2019-10-16 21:49:44 status unpacked libpcre2-8-0:amd64 10.32-5
2019-10-16 21:49:44 install libpcre3:amd64 <none> 2:8.39-12
2019-10-16 21:49:44 status half-installed libpcre3:amd64 2:8.39-12
2019-10-16 21:49:44 status unpacked libpcre3:amd64 2:8.39-12
2019-10-16 21:49:44 install libprocps7:amd64 <none> 2:3.3.15-2ubuntu3
2019-10-16 21:49:44 status half-installed libprocps7:amd64 2:3.3.15-2ubuntu3
2019-10-16 21:49:44 status unpacked libprocps7:amd64 2:3.3.15-2ubuntu3
2019-10-16 21:49:44 install libselinux1:amd64 <none> 2.9-2
2019-10-16 21:49:44 status half-installed libselinux1:amd64 2.9-2
2019-10-16 21:49:44 status unpacked libselinux1:amd64 2.9-2
2019-10-16 21:49:44 install libsemanage-common:all <none> 2.9-3
2019-10-16 21:49:44 status half-installed libsemanage-common:all 2.9-3
2019-10-16 21:49:44 status unpacked libsemanage-common:all 2.9-3
2019-10-16 21:49:44 install libsemanage1:amd64 <none> 2.9-3
2019-10-16 21:49:44 status half-installed libsemanage1:amd64 2.9-3
2019-10-16 21:49:44 status unpacked libsemanage1:amd64 2.9-3
2019-10-16 21:49:44 install libsepol1:amd64 <none> 2.9-2
2019-10-16 21:49:44 status half-installed libsepol1:amd64 2.9-2
2019-10-16 21:49:44 status unpacked libsepol1:amd64 2.9-2
2019-10-16 21:49:44 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:44 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:44 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:44 install libss2:amd64 <none> 1.45.3-4ubuntu2
2019-10-16 21:49:44 status half-installed libss2:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:44 status unpacked libss2:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:45 install libsystemd0:amd64 <none> 242-7ubuntu3
2019-10-16 21:49:45 status half-installed libsystemd0:amd64 242-7ubuntu3
2019-10-16 21:49:45 status unpacked libsystemd0:amd64 242-7ubuntu3
2019-10-16 21:49:45 install libtinfo6:amd64 <none> 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 status half-installed libtinfo6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 status unpacked libtinfo6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 install libudev1:amd64 <none> 242-7ubuntu3
2019-10-16 21:49:45 status half-installed libudev1:amd64 242-7ubuntu3
2019-10-16 21:49:45 status unpacked libudev1:amd64 242-7ubuntu3
2019-10-16 21:49:45 install libuuid1:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:45 status half-installed libuuid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:45 status unpacked libuuid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:45 install libzstd1:amd64 <none> 1.4.3+dfsg-1
2019-10-16 21:49:45 status half-installed libzstd1:amd64 1.4.3+dfsg-1
2019-10-16 21:49:45 status unpacked libzstd1:amd64 1.4.3+dfsg-1
2019-10-16 21:49:45 install login:amd64 <none> 1:4.5-1.1ubuntu4
2019-10-16 21:49:45 status half-installed login:amd64 1:4.5-1.1ubuntu4
2019-10-16 21:49:45 status unpacked login:amd64 1:4.5-1.1ubuntu4
2019-10-16 21:49:45 install logsave:amd64 <none> 1.45.3-4ubuntu2
2019-10-16 21:49:45 status half-installed logsave:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:45 status unpacked logsave:amd64 1.45.3-4ubuntu2
2019-10-16 21:49:45 install lsb-base:all <none> 11.0.1ubuntu1
2019-10-16 21:49:45 status half-installed lsb-base:all 11.0.1ubuntu1
2019-10-16 21:49:45 status unpacked lsb-base:all 11.0.1ubuntu1
2019-10-16 21:49:45 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-10-16 21:49:45 status half-configured mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:45 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:45 status half-installed mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:45 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:45 install mount:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:45 status half-installed mount:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:45 status unpacked mount:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:45 install ncurses-base:all <none> 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 status half-installed ncurses-base:all 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 status unpacked ncurses-base:all 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 install ncurses-bin:amd64 <none> 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 status half-installed ncurses-bin:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 status unpacked ncurses-bin:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:45 install passwd:amd64 <none> 1:4.5-1.1ubuntu4
2019-10-16 21:49:45 status half-installed passwd:amd64 1:4.5-1.1ubuntu4
2019-10-16 21:49:45 status unpacked passwd:amd64 1:4.5-1.1ubuntu4
2019-10-16 21:49:45 upgrade perl-base:amd64 5.28.1-6build1 5.28.1-6build1
2019-10-16 21:49:45 status half-configured perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:45 status unpacked perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:45 status half-installed perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:45 status unpacked perl-base:amd64 5.28.1-6build1
2019-10-16 21:49:45 install procps:amd64 <none> 2:3.3.15-2ubuntu3
2019-10-16 21:49:45 status half-installed procps:amd64 2:3.3.15-2ubuntu3
2019-10-16 21:49:46 status unpacked procps:amd64 2:3.3.15-2ubuntu3
2019-10-16 21:49:46 install sed:amd64 <none> 4.7-1
2019-10-16 21:49:46 status half-installed sed:amd64 4.7-1
2019-10-16 21:49:46 status unpacked sed:amd64 4.7-1
2019-10-16 21:49:46 install sensible-utils:all <none> 0.0.12
2019-10-16 21:49:46 status half-installed sensible-utils:all 0.0.12
2019-10-16 21:49:46 status unpacked sensible-utils:all 0.0.12
2019-10-16 21:49:46 install sysvinit-utils:amd64 <none> 2.95-5ubuntu2
2019-10-16 21:49:46 status half-installed sysvinit-utils:amd64 2.95-5ubuntu2
2019-10-16 21:49:46 status unpacked sysvinit-utils:amd64 2.95-5ubuntu2
2019-10-16 21:49:46 install tar:amd64 <none> 1.30+dfsg-6
2019-10-16 21:49:46 status half-installed tar:amd64 1.30+dfsg-6
2019-10-16 21:49:46 status unpacked tar:amd64 1.30+dfsg-6
2019-10-16 21:49:46 install util-linux:amd64 <none> 2.34-0.1ubuntu2
2019-10-16 21:49:46 status half-installed util-linux:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:46 status unpacked util-linux:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:46 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1ubuntu3
2019-10-16 21:49:46 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1ubuntu3
2019-10-16 21:49:46 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1ubuntu3
2019-10-16 21:49:46 startup packages configure
2019-10-16 21:49:46 configure lsb-base:all 11.0.1ubuntu1 <none>
2019-10-16 21:49:46 status unpacked lsb-base:all 11.0.1ubuntu1
2019-10-16 21:49:46 status half-configured lsb-base:all 11.0.1ubuntu1
2019-10-16 21:49:46 status installed lsb-base:all 11.0.1ubuntu1
2019-10-16 21:49:46 configure libaudit-common:all 1:2.8.5-2ubuntu1 <none>
2019-10-16 21:49:46 status unpacked libaudit-common:all 1:2.8.5-2ubuntu1
2019-10-16 21:49:46 status half-configured libaudit-common:all 1:2.8.5-2ubuntu1
